,channel_id,channel_video_count,recommended_count,videos_as_source,ratio
1284,UC6i6RCczLaW9VVito-689lA,202,694,27,3.4356435643564356
1285,UCh1D5qLzo-c_XWkFRsqFhtw,139,91,41,0.6546762589928058
1286,UCZhT4s66VouNwiSJ_uMsx9A,38,20,16,0.5263157894736842
1287,UCoSLEsFeBbVcEL1TZPartwQ,36,16,17,0.4444444444444444
1288,UC7OMeUFuZMacpPk2fc9UlOA,574,6320,51,11.010452961672474
1289,UC9tdrNLs9QpsFZI050UARkQ,142,338,23,2.380281690140845
1290,UC6SVo5JmZvxL484Ix3VfT5Q,78,108,16,1.3846153846153846
1291,UCTItQw_aTIIt1i8ysgYMH3w,181,619,17,3.4198895027624308
1292,UCOazMlysfZvHFA1pESaDf8w,20,2,7,0.1
1293,UCpaOmN-F1fiS19Qh9vI8gAw,734,1160,148,1.5803814713896458
1294,UCGhyQZ6zPbEsEAmA_lswvrA,76,589,25,7.75
1295,UCpbP0BfSEyu3_l-1u3bL3yg,18,1,3,0.05555555555555555
1296,UCV9tcSCbEgwMUQdOGA1G5bQ,88,176,23,2.0
1297,UCZvgdmfEVhN_bkzQKpBsi2w,684,988,110,1.4444444444444444
1298,UCSO6T55RFXOSTSjerLa1omg,407,3826,25,9.4004914004914
1299,UCP56Td-URBxm2y8cdXzdU1g,117,412,13,3.5213675213675213
1300,UCIO0R7N49K14bBvWIEXPYFg,303,1803,54,5.9504950495049505
1301,UCryFSz2ko-9DK48PY9Ee4eg,15,0,2,0.0
1302,UCa346_ck5QS_XMY6qbJyTwQ,82,103,14,1.2560975609756098
1303,UCgPYsPyGhhQJQ9zOUQDWDMA,1719,8019,748,4.664921465968586
1304,UCi9b1MGKmzqEDUxjWyy-p6A,57,65,18,1.1403508771929824
1305,UCbIvrZlVoI2w4TcYa32Pvdw,8,4,4,0.5
1306,UCXzgD_oZ2jVOnEWNVDCnjjA,83,58,8,0.6987951807228916
1307,UCk5a0Au3Lx883HBIaAMEzpw,70,500,25,7.142857142857143
1308,UCeWMp4Frgyv275gSnWNYoZQ,147,318,18,2.163265306122449
1309,UCYZTnnGNVLCNvGipMkuLTxg,57,358,0,6.280701754385965
